Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
Honda,City,RS,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 13,900,000",No,
Toyota,Vitz,Toyota,2015,Automatic,Petrol,Hatchback,"1,000 cc","28,000 km","Rs 9,650,000",Yes,
Honda,Vezel,,2014,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","115,000 km","Rs 10,350,000",Yes,
Peugeot,406,D9,1999,Manual,Petrol,Saloon,"1,999 cc","160,000 km","Rs 2,550,000",No,
Audi,A3,Sportback,2017,Tiptronic,Petrol,Hatchback,"1,000 cc","60,000 km","Rs 14,000,000",No,
Toyota,Corolla,,1999,Manual,Petrol,Saloon,"1,500 cc","87,500 km","Rs 650,000",Yes,
Honda,Civic,SR,2019,Automatic,Petrol,Hatchback,"1,000 cc","73,000 km","Rs 13,850,000",Yes,
Nissan,X-Trail,Mode Premier Autech,2016,Automatic,Hybrid,SUV / 4x4,"2,000 cc","131,000 km","Rs 13,500,000",No,
Toyota,Wigo,2018,2018,Automatic,Petrol,Hatchback,"1,000 cc","45,000 km","Rs 6,990,000",Yes,
Micro,Other Model,Wuling Almaz,2023,Automatic,Petrol,SUV / 4x4,"1,500 cc","17,200 km","Rs 17,500,000",Yes,
Ford,Raptor Ranger,2L Diesel,2025,Tiptronic,Diesel,SUV / 4x4,"2,000 cc",0 km,"Rs 34,000,000",Yes,
Hyundai,Eon,Hyundai,2014,Manual,Petrol,,814 cc,"107,000 km","Rs 3,800,000",Yes,
Mitsubishi,Lancer,Mitsubishi,1983,Manual,Petrol,Saloon,"1,300 cc","153,400 km","Rs 1,225,000",Yes,
Daihatsu,Mira,Mira safety unregist,2023,Automatic,Petrol,Hatchback,650 cc,"4,000 km","Rs 7,190,000",Yes,
Toyota,Prius,2016,2016,Automatic,Hybrid,Saloon,"1,800 cc","141,000 km","Rs 14,875,000",Yes,
Toyota,Land Cruiser Prado,120 Tx,2008,Automatic,Petrol,SUV / 4x4,"2,690 cc","189,000 km","Rs 17,500,000",Yes,
Tata,Nano,,2017,Automatic,Petrol,,650 cc,"96,000 km","Rs 2,375,000",Yes,
Honda,Vezel,Hybrid e-HEV Z Pre,2023,Tiptronic,Hybrid,SUV / 4x4,"1,500 cc","15,000 km","Rs 19,750,000",No,
Porsche,Macan,Customized Spec,2014,Tiptronic,Petrol,SUV / 4x4,"2,000 cc","90,000 km","Rs 35,000,000",Yes,
Toyota,Other Model,LAND CRUISER DIESEL,2024,Automatic,Diesel,SUV / 4x4,"3,300 cc",0 km,"Rs 117,500,000",No,
Honda,Vezel,Hybrid e-HEV Z,2023,Tiptronic,Hybrid,SUV / 4x4,"1,500 cc","15,000 km","Rs 18,250,000",Yes,
Honda,Vezel,Hybrid e-HEV X,2023,Tiptronic,Hybrid,SUV / 4x4,"1,500 cc","15,000 km","Rs 15,950,000",No,
Honda,Vezel,Z Play Premium Zone,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",150 km,"Rs 23,875,000",Yes,
Land Rover,Discovery,Luxury HSC Dynamic,2018,Automatic,Diesel,SUV / 4x4,"2,000 cc","54,000 km","Rs 44,580,000",Yes,
BMW,318i,M-Sport Limited Ed,2019,Tiptronic,Petrol,Saloon,"1,500 cc","35,000 km","Rs 27,990,000",Yes,
BMW,520d,,2013,Automatic,Diesel,Saloon,"2,000 cc","135,000 km","Rs 23,500,000",Yes,
Audi,A6,,2012,Automatic,Petrol,Saloon,"2,000 cc","110,000 km","Rs 14,900,000",No,
Toyota,Yaris,ATIV G GRADE,2019,Automatic,Petrol,SUV / 4x4,"1,300 cc","52,000 km","Rs 11,600,000",No,
Toyota,Other Model,Landcruiser 105,2003,Manual,Diesel,SUV / 4x4,"4,500 cc","250,000 km","Rs 22,000,000",Yes,
Honda,Accord,LX,2003,Automatic,Petrol,Saloon,"2,400 cc","135,000 km","Rs 5,700,000",Yes,
Land Rover,Freelander,Freelander 2 HSE,2011,Automatic,Petrol,SUV / 4x4,"3,200 cc","97,000 km","Rs 10,000,000",No,
Suzuki,Wagon R FZ,,2017,Automatic,Hybrid,Hatchback,650 cc,"72,929 km","Rs 6,895,000",No,
Toyota,Land Cruiser Sahara,LC300,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",200 km,"Rs 91,000,000",Yes,
Toyota,Vitz,,2017,Automatic,Petrol,Hatchback,990 cc,"88,095 km","Rs 8,350,000",No,
Toyota,Pixis,Mira Safety,2023,Automatic,Petrol,Hatchback,660 cc,"1,300 km","Rs 7,150,000",Yes,
Hyundai,Elantra,2011,2011,Automatic,Petrol,Saloon,"1,600 cc","103,000 km","Rs 7,750,000",Yes,
Mitsubishi,Outlander,,2013,Automatic,Hybrid,Hatchback,"1,990 cc","145,902 km","Rs 13,975,000",No,
Toyota,Corolla,EE96,1991,Manual,Petrol,Station wagon,"1,300 cc","175,800 km","Rs 1,650,000",Yes,
Ford,Raptor Ranger,,2025,Automatic,Diesel,SUV / 4x4,"2,000 cc",0 km,"Rs 35,500,000",Yes,
Honda,CRV,MASTERPIECE,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","68,000 km","Rs 22,800,000",Yes,
Toyota,Corolla,DX,1985,Manual,Petrol,,"1,500 cc","108,000 km","Rs 780,000",No,
Suzuki,Alto,800,2015,Manual,Petrol,Hatchback,800 cc,"82,400 km","Rs 3,550,000",No,
Nissan,AD Wagon,1989,1989,Manual,Diesel,Station wagon,"1,300 cc","298,000 km","Rs 1,350,000",Yes,
DFSK,Glory,DFSK Glory 580,2019,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","52,000 km","Rs 9,000,000",Yes,
Suzuki,Maruti,800,2010,Manual,Petrol,Hatchback,800 cc,"89,200 km","Rs 2,195,000",No,
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"90,000 km","Rs 5,700,000",Yes,
BMW,X1,M Sport,2018,Automatic,Petrol,,"1,490 cc","96,500 km","Rs 22,500,000",Yes,
Hyundai,Sonata,Hyundai,2004,Automatic,Petrol,Saloon,"1,995 cc","45,000 km","Rs 2,350,000",Yes,
Bajaj,Qute,2019,2019,Manual,Petrol,,216 cc,"34,800 km","Rs 1,350,000",Yes,
Peugeot,406,2010,2010,Manual,Diesel,Hatchback,"1,500 cc","100,000 km","Rs 1,900,000",No,
Toyota,Allion,,2003,Automatic,Petrol,,"1,500 cc","166,560 km","Rs 7,395,000",No,
Toyota,Land Cruiser Prado,250 Diesel 1st edit,2024,Tiptronic,Diesel,SUV / 4x4,"2,800 cc",0 km,"Rs 81,500,000",Yes,
Honda,Vezel,Orange Pakage,2015,Automatic,Hybrid,Saloon,"1,500 cc","135,000 km","Rs 10,500,000",Yes,
Suzuki,Alto,,2023,Automatic,Petrol,Hatchback,660 cc,"1,723 km","Rs 7,250,000",Yes,
Suzuki,Alto,,2023,Automatic,Petrol,Hatchback,660 cc,"8,670 km","Rs 7,250,000",Yes,
Suzuki,Alto,,2023,Automatic,Petrol,Hatchback,660 cc,"2,679 km","Rs 7,500,000",Yes,
Nissan,Sunny,,1983,Manual,Petrol,Saloon,"1,200 cc","245,400 km","Rs 950,000",No,
Toyota,Other Model,Yaris Cross,2024,Automatic,Petrol,SUV / 4x4,"1,500 cc","11,786 km","Rs 18,950,000",Yes,
Toyota,Other Model,Yaris Cross,2023,Automatic,Hybrid,SUV / 4x4,"1,500 cc","22,409 km","Rs 18,950,000",Yes,
Toyota,Corolla,Crossa,1998,Manual,Diesel,Hatchback,"2,000 cc","160,000 km","Rs 2,800,000",Yes,
Honda,Vezel,Orange Package,2014,Automatic,Hybrid,SUV / 4x4,"1,500 cc","131,000 km","Rs 9,950,000",Yes,
Daihatsu,Mira,Daihatsu,2023,Automatic,Petrol,Hatchback,650 cc,"16,000 km","Rs 7,150,000",Yes,
Toyota,Vitz,,2016,Automatic,Petrol,Hatchback,"1,000 cc","60,500 km","Rs 7,875,000",Yes,
Ford,F-150,Ford Raptor Ranger,2015,Manual,Diesel,SUV / 4x4,"3,200 cc","135,000 km","Rs 21,000,000",No,
Toyota,Land Cruiser Prado,TX,2015,Automatic,Petrol,SUV / 4x4,"2,690 cc","87,378 km","Rs 49,500,000",Yes,
Ford,F-150,Ford Ranger 3.2 F150,2014,Automatic,Diesel,SUV / 4x4,"3,200 cc","155,000 km","Rs 24,500,000",No,
Suzuki,Alto,800,2010,Manual,Petrol,Hatchback,800 cc,"79,600 km","Rs 2,895,000",No,
Chery,QQ,,2009,Manual,Petrol,Hatchback,800 cc,"72,000 km","Rs 1,500,000",Yes,
Land Rover,Range Rover,Sport P400e,2018,Tiptronic,Hybrid,SUV / 4x4,"2,000 cc","57,000 km","Rs 76,500,000",Yes,
Audi,Q2,,2017,Tiptronic,Petrol,Hatchback,"1,000 cc","47,500 km","Rs 15,900,000",Yes,
Toyota,Other Model,Land Cruiser LC 300,2023,Automatic,Petrol,SUV / 4x4,"3,500 cc",0 km,"Rs 104,500,000",No,
Toyota,Harrier,Z Leather Package,2024,Automatic,Petrol,SUV / 4x4,"2,000 cc","6,000 km","Rs 37,900,000",No,
Honda,Vezel,Hev Z,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",5 km,"Rs 18,850,000",No,
Toyota,CHR,G-T,2023,Automatic,Petrol,Coupé/Sports,"1,200 cc","10,000 km","Rs 16,000,000",No,
Toyota,Raize,X Grade,2023,Tiptronic,Petrol,Hatchback,"1,000 cc","18,000 km","Rs 13,000,000",Yes,
MG,MG4 X,MG4 X i Smart,2024,Automatic,Electric,Hatchback,125 cc,"3,100 km","Rs 16,750,000",Yes,
Toyota,Starlet,Toyota,1998,Automatic,Petrol,Hatchback,"1,330 cc","223,000 km","Rs 4,200,000",Yes,
MG,ZS,MG,2019,Automatic,Petrol,SUV / 4x4,999 cc,"12,800 km","Rs 11,250,000",No,
Daihatsu,Mira,Daihatsu,2017,Automatic,Petrol,Hatchback,650 cc,"69,500 km","Rs 5,950,000",Yes,
Toyota,Land Cruiser Prado,LC250 Prado 1st Edit,2024,Automatic,Petrol,SUV / 4x4,"2,000 cc","16,996 km","Rs 62,500,000",Yes,
Mercedes Benz,E300,AMG-Premium Plus,2015,Automatic,Diesel,Saloon,"2,000 cc","45,000 km","Rs 20,500,000",Yes,
Toyota,Yaris,X Safety,2024,Automatic,Petrol,Hatchback,"1,000 cc","2,800 km","Rs 10,750,000",Yes,
Toyota,CHR,NGX10   GT Turbo,2018,Automatic,Petrol,,"1,200 cc","80,000 km","Rs 15,500,000",Yes,
Lexus,Other Model,LX600 Luxury,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",0 km,"Rs 138,000,000",No,
BMW,740Le,MSport,2018,Automatic,Petrol,Saloon,"2,000 cc","60,000 km","Rs 62,000,000",No,
Mercedes Benz,EQE 300,REGISTERED,2024,Automatic,Electric,SUV / 4x4,400 cc,0 km,"Rs 65,000,000",No,
Toyota,Hilux,GR SPORTS,2024,Automatic,Diesel,,"2,800 cc",0 km,"Rs 31,000,000",No,
Lexus,Other Model,LX600,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",0 km,"Rs 139,500,000",No,
Audi,Q7,Quattro,2018,Automatic,Petrol,SUV / 4x4,"2,000 cc","65,000 km","Rs 39,500,000",No,
Ford,Ranger,MSRT LIMITED EDITION,2024,Automatic,Diesel,SUV / 4x4,"3,000 cc",0 km,"Rs 36,500,000",No,
Toyota,Other Model,LAND CRUISER DIESEL,2023,Automatic,Diesel,SUV / 4x4,"3,300 cc",0 km,"Rs 117,500,000",No,
BAIC,X55 II,Beijing,2025,Automatic,Petrol,SUV / 4x4,"1,500 cc",0 km,"Rs 17,100,000",Yes,
Toyota,Hilux,V,2019,Automatic,Diesel,SUV / 4x4,"2,800 cc","104,000 km","Rs 22,800,000",Yes,
Suzuki,Vitara,2019,2019,Automatic,Petrol,SUV / 4x4,"1,000 cc","72,000 km","Rs 12,000,000",Yes,
Kia,Sorento,1 - 20,2016,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","128,000 km","Rs 29,500,000",Yes,
Toyota,Hilux,REVO ROCCO,2018,Automatic,Diesel,SUV / 4x4,"2,800 cc","40,000 km","Rs 22,900,000",Yes,
Toyota,Land Cruiser Prado,TX,2000,Manual,Diesel,SUV / 4x4,"2,999 cc","370,000 km","Rs 13,999,999",Yes,
Toyota,Corona,,1976,Manual,Diesel,Station wagon,"1,970 cc","400,000 km","Rs 1,450,000",Yes,
Ssang Yong,Kyron,Limited XDi,2009,Automatic,Diesel,SUV / 4x4,"2,000 cc","157,000 km","Rs 7,850,000",Yes,
Mazda,Familia,,1985,Manual,Petrol,,"1,500 cc","80,000 km","Rs 300,000",No,
Morris,Mini,Morris Mini,1969,Manual,Petrol,,"1,000 cc","56,000 km","Rs 1,500,000",No,
Honda,Vezel,Z Grade,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",10 km,"Rs 19,500,000",No,
Nissan,Sunny,1986,1986,Manual,Petrol,Station wagon,"1,400 cc","327,600 km","Rs 250,000",Yes,
Toyota,CHR,G-T,2023,Automatic,Petrol,Coupé/Sports,"1,200 cc","15,000 km","Rs 16,000,000",No,
Toyota,Hilux,2007,2007,Manual,Diesel,SUV / 4x4,"3,000 cc","230,000 km","Rs 10,950,000",Yes,
Honda,Civic,Civic SR (UK) 2018,2018,Automatic,Petrol,Hatchback,"1,000 cc","51,000 km","Rs 14,000,000",Yes,
Toyota,Aqua,S Grade,2012,Automatic,Petrol,Hatchback,"1,500 cc","172,000 km","Rs 6,950,000",Yes,
Toyota,Hilux,GR sport,2024,Automatic,Diesel,SUV / 4x4,"2,800 cc",10 km,"Rs 29,900,000",Yes,
Austin,Mini Cooper,EFI AIR BAG,1989,Automatic,Petrol,Hatchback,"1,000 cc","186,000 km","Rs 3,590,000",Yes,
Honda,Vezel,Z Gread,2024,Automatic,Hybrid,Saloon,"1,500 cc",10 km,"Rs 21,900,000",Yes,
Land Rover,Range Rover,Land Rover,2007,Tiptronic,Petrol,SUV / 4x4,"4,400 cc","114,000 km","Rs 22,000,000",No,
Toyota,Corona,AT171,1988,Manual,Petrol,Saloon,"1,600 cc","250,000 km","Rs 1,850,000",No,
Suzuki,Wagon R,Custom Z,2024,Automatic,Petrol,Hatchback,660 cc,0 km,"Rs 9,650,000",Yes,
Mitsubishi,Lancer,CS 3,2001,Manual,Petrol,Saloon,"1,600 cc","240,000 km","Rs 5,600,000",Yes,
Honda,Vezel,RS,2014,Automatic,Petrol,SUV / 4x4,"1,490 cc","86,000 km","Rs 11,000,000",Yes,
Toyota,Land Cruiser Prado,1ST Edition,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",500 km,"Rs 70,590,000",Yes,
Suzuki,Alto,,2023,Automatic,Petrol,Hatchback,660 cc,"13,981 km","Rs 7,250,000",Yes,
Audi,A6,Hybrid,2013,Automatic,Petrol,Saloon,"2,000 cc","70,000 km","Rs 15,000,000",No,
Audi,Q7,Q7 40TFSI Quattro,2016,Tiptronic,Petrol,SUV / 4x4,"2,000 cc","143,000 km","Rs 37,000,000",Yes,
Peugeot,3008,,2018,Automatic,Petrol,SUV / 4x4,"1,200 cc","86,000 km","Rs 17,900,000",Yes,
Honda,Fit,S Grade,2016,Automatic,Petrol,Hatchback,"1,498 cc","85,000 km","Rs 10,000,000",Yes,
Honda,Civic,Honda,1985,Manual,Petrol,Hatchback,"1,341 cc","200,000 km","Rs 975,000",Yes,
Toyota,Harrier,,2017,Automatic,Petrol,SUV / 4x4,"2,000 cc","90,500 km","Rs 26,000,000",No,
Land Rover,Range Rover,LWB Autobiography,2018,Tiptronic,Hybrid,SUV / 4x4,"2,000 cc","30,000 km","Rs 105,000,000",Yes,
Suzuki,Wagon R FX,Full Option,2024,Automatic,Petrol,Hatchback,660 cc,"2,521 km","Rs 7,995,000",Yes,
Honda,Vezel,Z 2025,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",100 km,"Rs 21,500,000",Yes,
Lexus,Other Model,LX600 Fully Loaded,2023,Automatic,Petrol,SUV / 4x4,"3,600 cc","5,000 km","Rs 129,000,000",Yes,
Suzuki,Alto,,2023,Automatic,Petrol,Hatchback,660 cc,"3,925 km","Rs 7,250,000",Yes,
Mercedes Benz,E180,Premium Plus,2020,Automatic,Petrol,Saloon,"1,500 cc","58,000 km","Rs 40,000,000",Yes,
Suzuki,Alto,,2024,Automatic,Petrol,Hatchback,660 cc,"3,831 km","Rs 7,500,000",Yes,
Suzuki,Wagon R FX,Full Option,2024,Automatic,Petrol,Hatchback,660 cc,"2,771 km","Rs 7,995,000",Yes,
Toyota,Aqua,Toyota,2015,Automatic,Hybrid,,"1,500 cc","80,000 km","Rs 9,395,000",No,
Kia,Sorento,Fully Loaded,2017,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","143,000 km","Rs 27,000,000",Yes,
Daihatsu,Mira,,2016,Automatic,Petrol,,650 cc,"98,000 km","Rs 5,950,000",Yes,
Honda,City,RS 1.0 VTEC Turbo BN,2025,Automatic,Petrol,Saloon,"1,000 cc",12 km,"Rs 15,250,000",Yes,
Mitsubishi,Lancer,1981,1981,Manual,Petrol,Saloon,"1,400 cc","180,000 km","Rs 985,000",Yes,
Honda,Civic,Civic SR (UK) 2018,2018,Automatic,Petrol,Hatchback,"1,000 cc","51,000 km","Rs 14,000,000",Yes,
Toyota,Axio,G Grade,2015,Automatic,Hybrid,Saloon,"1,500 cc","113,800 km","Rs 11,800,000",Yes,
Jeep,Wrangler,RUBICON Unlimited,2018,Automatic,Petrol,SUV / 4x4,"1,995 cc","3,900 km","Rs 53,900,000",No,
Nissan,X-Trail,T31,2014,Automatic,Diesel,SUV / 4x4,"2,000 cc","78,000 km","Rs 9,600,000",No,
Toyota,Tercel,1330,1991,Manual,Petrol,Saloon,"1,330 cc","265,600 km","Rs 2,595,000",No,
Lexus,Other Model,LX600 Highest spec,2024,Tiptronic,Petrol,MPV,"3,500 cc",0 km,"Rs 135,000,000",No,
Jeep,Compass,Limited,2018,Automatic,Petrol,SUV / 4x4,"1,360 cc","24,500 km","Rs 21,400,000",No,
Toyota,Aqua,G Limited,2013,Automatic,Hybrid,Hatchback,"1,500 cc","139,000 km","Rs 7,950,000",Yes,
Mitsubishi,Lancer,Mitsubishi,1995,Manual,Petrol,Saloon,"1,300 cc","500,000 km","Rs 900,000",Yes,
Micro,Panda Cross,1342,2012,Manual,Petrol,Hatchback,"1,342 cc","56,800 km","Rs 3,095,000",No,
Toyota,Axio,G Grade,2014,Automatic,Hybrid,Saloon,"1,500 cc","168,000 km","Rs 9,700,000",Yes,
Toyota,Axio,2014,2014,Automatic,Hybrid,Saloon,"1,500 cc","97,200 km","Rs 11,000,000",Yes,
BMW,X3,Diesal,2014,Automatic,Diesel,SUV / 4x4,"2,000 cc","149,000 km","Rs 21,750,000",Yes,
Toyota,Soluna,,2002,Manual,Petrol,Saloon,"1,500 cc","210,000 km","Rs 2,875,000",No,
Toyota,Axio,EX Hybrid Brand New,2024,Automatic,Hybrid,Saloon,"1,490 cc",7 km,"Rs 16,190,000",Yes,
Land Rover,Range Rover Sport,HSE-FULL SPEC,2018,Automatic,Petrol,SUV / 4x4,"2,000 cc","25,000 km","Rs 72,500,000",Yes,
Toyota,Vitz,2009,2009,Automatic,Petrol,Hatchback,"1,000 cc","175,000 km","Rs 6,300,000",Yes,
Honda,Vezel,Vezel RS Sensing,2017,Automatic,Hybrid,Station wagon,"1,500 cc","45,000 km","Rs 14,000,000",No,
BMW,740Le,pure petrol,2012,Automatic,Petrol,Saloon,"3,000 cc","55,000 km","Rs 25,900,000",Yes,
Ford,Mustang,eco boost fast back,2024,Automatic,Petrol,Coupé/Sports,"2,400 cc",25 km,"Rs 62,500,000",Yes,
Toyota,Hilux,THAILAND GR sport,2024,Automatic,Diesel,SUV / 4x4,"2,795 cc",105 km,"Rs 29,850,000",Yes,
Toyota,Land Cruiser Prado,2nd edition fullylod,2024,Automatic,Petrol,SUV / 4x4,"2,750 cc",80 km,"Rs 68,500,000",Yes,
Honda,N-Box,N-Box Custom TURBO,2025,Automatic,Petrol,MPV,660 cc,0 km,"Rs 11,700,000",Yes,
BAIC,X55 II,Beijing,2025,Automatic,Petrol,SUV / 4x4,"1,500 cc",0 km,"Rs 17,100,000",Yes,
Toyota,Hilux,GR Sport,2024,Automatic,Diesel,SUV / 4x4,"2,790 cc",15 km,"Rs 29,800,000",Yes,
Land Rover,Range Rover,Land Rover,2019,Tiptronic,Hybrid,SUV / 4x4,"2,000 cc","16,000 km","Rs 115,000,000",Yes,
Ford,Everest,Diesel,2016,Automatic,Diesel,SUV / 4x4,"3,200 cc","122,000 km","Rs 27,500,000",No,
Toyota,Aygo,SZ Executive Launch,2024,Automatic,Hybrid,MPV,"1,800 cc",20 km,"Rs 33,750,000",Yes,
Kia,Sorento,Jeep,2011,Automatic,Petrol,,"2,400 cc","99,000 km","Rs 13,000,000",Yes,
Honda,Civic,Hybrid EMA,2010,Automatic,Hybrid,Saloon,"1,400 cc","101,000 km","Rs 7,500,000",Yes,
Suzuki,Alto,Suzuki,2016,Manual,Petrol,Hatchback,800 cc,"78,000 km","Rs 4,200,000",No,
Toyota,Hilux,,2002,Manual,Diesel,SUV / 4x4,"2,500 cc","220,000 km","Rs 10,000,000",Yes,
Mitsubishi,Montero,2015 GLS,2015,Tiptronic,Diesel,SUV / 4x4,"3,200 cc","160,000 km","Rs 37,500,000",Yes,
Volkswagen,T-Cross,2019,2019,Automatic,Petrol,Station wagon,"1,000 cc","57,500 km","Rs 14,200,000",Yes,
Maruti Suzuki,800,800,2005,Manual,Petrol,Hatchback,800 cc,"90,000 km","Rs 1,795,000",No,
Honda,Vezel,Brand New Z Grade,2025,Tiptronic,Hybrid,SUV / 4x4,"1,500 cc",0 km,"Rs 21,000,000",Yes,
Kia,Sorento,,2011,Automatic,Petrol,SUV / 4x4,"2,400 cc","160,000 km","Rs 10,500,000",Yes,
Suzuki,Swift,RS,2019,Automatic,Petrol,Hatchback,"1,000 cc","37,833 km","Rs 9,800,000",No,
Bajaj,Qute,2019,2019,Manual,Petrol,Hatchback,226 cc,"40,000 km","Rs 1,325,000",Yes,
Honda,Vezel,brand New Z Package,2025,Tiptronic,Hybrid,SUV / 4x4,"1,500 cc",0 km,"Rs 21,000,000",Yes,
Toyota,Premio,G Superior 2013,2013,Automatic,Petrol,Saloon,"1,490 cc","79,000 km","Rs 14,000,000",Yes,
Toyota,Hilux,,2023,Tiptronic,Diesel,SUV / 4x4,"2,400 cc","27,000 km","Rs 26,800,000",Yes,
Mercedes Benz,C200,C200 Premium Plus,2019,Automatic,Petrol,Saloon,"1,500 cc","50,000 km","Rs 31,000,000",Yes,
Toyota,Carina,Ful option,1993,Manual,Petrol,Saloon,"1,500 cc","100,000 km","Rs 2,350,000",Yes,
Micro,Panda,Panda,2013,Manual,Petrol,Saloon,"1,300 cc","120,000 km","Rs 2,965,000",No,
Toyota,Axio,G Grade,2015,Automatic,Hybrid,Saloon,"1,500 cc","165,000 km","Rs 13,800,000",Yes,
Land Rover,Discovery,4 SDV6 Vogue,2013,Automatic,Diesel,SUV / 4x4,"3,000 cc","240,000 km","Rs 37,500,000",Yes,
Mahindra,KUV 100,NXT,2025,Automatic,Diesel,SUV / 4x4,"1,198 cc",0 km,"Rs 6,495,000",No,
Mahindra,KUV 100,NXT,2025,Automatic,Diesel,SUV / 4x4,"1,198 cc",0 km,"Rs 6,495,000",No,
Toyota,Corolla,CE 100,1991,Manual,Diesel,Saloon,"1,750 cc","280,000 km","Rs 2,600,000",Yes,
Audi,A4,S Line Premium,2017,Automatic,Petrol,Saloon,"1,400 cc","19,000 km","Rs 21,850,000",Yes,
Mahindra,KUV 100,NXT,2025,Automatic,Diesel,SUV / 4x4,"1,198 cc",0 km,"Rs 6,495,000",No,
Mahindra,KUV 100,NXT,2025,Automatic,Diesel,SUV / 4x4,"1,198 cc",0 km,"Rs 6,495,000",No,
Mahindra,KUV 100,NXT,2025,Automatic,Diesel,SUV / 4x4,"1,198 cc",0 km,"Rs 6,495,000",No,
Peugeot,E-2008,Electric,2023,Automatic,Electric,SUV / 4x4,50 cc,"9,000 km","Rs 24,775,000",No,
Toyota,Hilux,GR Sport,2024,Automatic,Diesel,SUV / 4x4,"2,400 cc",990 km,"Rs 26,200,000",No,
BMW,520d,F10 2012,2012,Automatic,Diesel,Saloon,"2,000 cc","70,000 km","Rs 23,500,000",Yes,
Toyota,Yaris,,2007,Automatic,Petrol,Saloon,"1,300 cc","170,000 km","Rs 6,700,000",Yes,
Honda,Civic,,2013,Automatic,Petrol,Saloon,"1,800 cc","117,000 km","Rs 8,750,000",Yes,
Mitsubishi,Lancer,Lancer Wagon,1980,Manual,Petrol,Station wagon,"1,400 cc","268,900 km","Rs 590,000",Yes,
Honda,CRV,VTI LX AWD,2024,Tiptronic,Petrol,SUV / 4x4,"1,500 cc",0 km,"Rs 29,000,000",Yes,
Honda,CRV,VTI LX AWD,2024,Tiptronic,Petrol,SUV / 4x4,"1,500 cc",0 km,"Rs 29,000,000",Yes,
Mercedes Benz,CLA 250,(new),2024,Tiptronic,Hybrid,Saloon,"1,300 cc",0 km,"Rs 29,000,000",No,
Toyota,Land Cruiser Prado,TRJ150 TX Limited,2024,Tiptronic,Petrol,SUV / 4x4,"2,790 cc",100 km,"Rs 60,000,000",No,
Nissan,X-Trail,E-Power,2025,Tiptronic,Hybrid,Hatchback,"1,500 cc",0 km,"Rs 34,000,000",Yes,
Toyota,Corona,,1989,Manual,Petrol,Saloon,"1,500 cc","169,820 km","Rs 1,550,000",Yes,
Hyundai,Grand i10,Hyundai,2017,Tiptronic,Petrol,Hatchback,"1,000 cc","94,000 km","Rs 6,200,000",Yes,
Toyota,Axio,Petrol,2019,Automatic,Petrol,Saloon,"1,300 cc","59,000 km","Rs 12,800,000",No,
Audi,Q2,TFSI,2018,Automatic,Petrol,SUV / 4x4,999 cc,"100,200 km","Rs 17,500,000",No,
Mitsubishi,Pajero,Intercooler,1996,Automatic,Diesel,SUV / 4x4,"2,800 cc","232,000 km","Rs 11,500,000",Yes,
Suzuki,Wagon R Stingray,J Style,2015,Automatic,Petrol,Hatchback,650 cc,"63,000 km","Rs 6,500,000",Yes,
Toyota,CHR,NGX 10,2022,Automatic,Hybrid,SUV / 4x4,"1,200 cc","20,000 km","Rs 15,700,000",No,
Audi,A3,2018,2018,Automatic,Petrol,Hatchback,"1,000 cc","129,000 km","Rs 14,500,000",Yes,
Hyundai,Grand i10,4 Speed Automatic,2024,Automatic,Petrol,Hatchback,"1,200 cc",0 km,"Rs 9,439,999",No,
Mercedes Benz,CLA 200,Premium Plus,2019,Automatic,Petrol,Saloon,"1,332 cc","74,200 km","Rs 26,500,000",Yes,
Toyota,Land Cruiser Prado,GX DIPLOMAT,2009,Manual,Diesel,SUV / 4x4,"3,000 cc","250,000 km","Rs 20,000,000",Yes,
Suzuki,Wagon R FX,Safety Premium Brown,2024,Automatic,Petrol,Hatchback,660 cc,"3,769 km","Rs 8,190,000",Yes,
Honda,Vezel,X HUNT BRAND NEW,2024,Automatic,Hybrid,Station wagon,"1,490 cc",7 km,"Rs 19,990,000",Yes,
Tata,Indigo,2011,2011,Manual,Petrol,Saloon,"1,193 cc","63,000 km","Rs 2,475,000",Yes,
Honda,Vezel,Z Play MoonRoof,2025,Automatic,Petrol,SUV / 4x4,"1,500 cc",0 km,"Rs 25,750,000",Yes,
Honda,CRV,2018,2018,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","56,955 km","Rs 23,000,000",No,
